Rank,Industry,Ticker,Relative Strength,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Diff
32,Beverages - Non-Alcoholic,MNST,19.0,0.36,0.62,0.68,0.46,0.64,69,77,65,56,81,-4.510000000000002
33,Drug Manufacturers - General,GILD,17.41,0.54,0.7,0.35,0.52,0.5,68,73,60,85,89,-2.7600000000000016
34,Utilities - Regulated Electric,AEP,17.17,0.67,0.52,0.65,0.76,0.61,67,61,62,67,74,5.250000000000002
35,Semiconductors,ARM,15.89,0.58,0.59,0.45,0.44,0.75,66,72,58,30,33,-3.6899999999999977
36,Semiconductors,QCOM,15.45,0.75,0.5,0.6,0.41,0.51,65,51,45,21,18,9.549999999999999
37,Software - Infrastructure,MSFT,13.57,0.64,0.43,0.66,0.69,0.72,64,67,68,82,61,-3.3000000000000007
38,Drug Manufacturers - General,AZN,13.48,0.35,0.33,0.58,0.56,0.76,63,64,73,39,47,-2.24
39,Utilities - Regulated Electric,EXC,11.55,0.5,0.71,0.68,0.6,0.54,62,63,56,58,84,-1.9799999999999986
40,Semiconductors,MRVL,11.46,0.55,0.43,0.89,0.54,0.72,60,58,55,38,5,1.200000000000001
41,Apparel Retail,ROST,11.46,0.74,0.6,0.57,0.62,0.48,60,60,57,26,48,0.3100000000000005
42,Railroads,CSX,9.13,0.52,0.49,0.68,0.6,0.59,59,59,54,61,20,-1.5699999999999985
43,Semiconductors,ADI,8.12,0.58,0.46,0.34,0.18,0.76,58,57,51,47,38,-1.8100000000000005
44,Internet Retail,MELI,7.98,0.68,0.5,0.37,0.49,0.73,57,38,44,73,91,7.550000000000001
45,Internet Retail,AMZN,7.69,0.57,0.53,0.35,0.38,0.55,56,52,47,54,32,1.6500000000000004
46,Entertainment,NFLX,7.01,0.25,0.39,0.4,0.28,0.95,55,56,70,88,97,-1.92
47,Drug Manufacturers - General,BIIB,6.59,0.58,0.4,0.58,0.48,0.68,54,55,48,8,2,-1.9900000000000002
48,Software - Application,CDNS,4.87,0.57,0.45,0.48,0.72,0.76,53,62,69,79,65,-8.489999999999998
49,Auto Parts,ORLY,4.17,0.22,0.29,0.41,0.72,0.53,52,54,76,69,82,-3.55
50,Beverages - Non-Alcoholic,PEP,3.7,0.43,0.75,0.46,0.55,0.32,51,45,36,23,17,-0.3700000000000001
51,Semiconductors,MCHP,3.37,0.55,0.43,0.46,0.31,0.83,49,44,40,63,3,0.25
52,Beverages - Non-Alcoholic,CCEP,3.25,0.54,0.69,0.5,0.56,0.61,48,49,46,80,83,-2.49
53,Medical Instruments & Supplies,ISRG,2.95,0.82,0.79,0.37,0.29,0.7,47,48,7,20,66,-2.6899999999999995
54,Industrial Distribution,FAST,2.17,0.28,0.24,0.53,0.56,0.57,46,47,77,74,77,-2.04
55,Travel Services,BKNG,1.45,0.47,0.4,0.4,0.26,0.78,45,46,52,72,90,-2.7199999999999998
56,Software - Application,ADSK,1.34,0.47,0.4,0.36,0.53,0.72,44,53,53,49,59,-5.3100000000000005
57,Biotechnology,REGN,1.19,0.82,0.46,0.6,0.44,0.63,43,17,22,2,4,11.44
58,Farm & Heavy Construction Machinery,PCAR,0.6,0.71,0.55,0.39,0.52,0.48,42,40,37,33,21,-0.19000000000000006
59,Drug Manufacturers - General,AMGN,0.19,0.53,0.47,0.62,0.5,0.46,41,37,42,41,37,0.18
60,Lodging,MAR,-0.02,0.52,0.49,0.42,0.2,0.75,40,43,36,37,44,-3.06
61,Semiconductors,ON,-0.29,0.63,0.51,0.47,0.43,0.76,39,28,13,48,1,5.91
62,Conglomerates,HON,-0.98,0.62,0.57,0.31,0.23,0.69,38,39,28,45,56,-1.42
63,Internet Content & Information,META,-1.36,0.38,0.6,0.35,0.58,0.65,37,69,64,86,60,-19.189999999999998
64,Medical Devices,GEHC,-1.59,0.66,0.56,0.42,0.36,0.67,36,34,26,9,15,0.06999999999999984
65,Semiconductors,NXPI,-2.21,0.51,0.42,0.55,0.32,0.67,35,41,43,29,15,-3.16
66,Software - Application,INTU,-2.55,0.57,0.57,0.59,0.61,0.69,34,42,38,84,54,-4.14
67,Software - Application,WDAY,-2.6,0.5,0.54,0.55,0.47,0.68,33,35,29,14,52,-1.8
68,Information Technology Services,CTSH,-3.46,0.76,0.5,0.33,0.28,0.77,32,21,11,15,55,6.239999999999999
69,Discount Stores,COST,-3.49,0.46,0.58,0.26,0.35,0.65,31,36,31,42,78,-2.7700000000000005
70,Travel Services,ABNB,-3.64,0.72,0.72,0.48,0.29,0.7,30,33,25,28,30,-1.0700000000000003
71,Semiconductors,GFS,-5.22,0.68,0.47,0.61,0.26,0.67,29,22,12,12,19,4.14
72,Oil & Gas E&P,FANG,-5.89,0.55,0.43,0.6,0.56,0.61,28,29,27,18,7,0.20999999999999996
73,Specialty Chemicals,LIN,-6.26,0.26,0.28,0.33,0.4,0.61,27,32,41,40,49,-3.67
74,Credit Services,PYPL,-7.58,0.45,0.47,0.47,0.3,0.67,26,25,16,16,22,-0.8600000000000003
75,Confectioners,MDLZ,-8.43,0.32,0.44,0.6,0.36,0.53,25,24,30,31,63,-1.58
76,Restaurants,SBUX,-9.55,0.65,0.64,0.58,0.33,0.48,24,27,21,32,36,-3.2700000000000005
77,Telecom Services,TMUS,-10.69,0.27,0.39,0.3,0.6,0.44,23,31,39,51,86,-5.63
78,Biotechnology,VRTX,-11.64,0.64,0.64,0.56,0.44,0.59,22,18,20,24,64,-1.5200000000000014
79,Software - Application,ADP,-11.73,0.16,0.31,0.41,0.46,0.54,21,30,33,46,67,-6.45
80,Semiconductors,TXN,-11.9,0.34,0.36,0.43,0.13,0.72,20,23,23,35,25,-4.44
81,Software - Infrastructure,FTNT,-12.05,0.57,0.47,0.65,0.34,0.67,19,15,19,66,94,-0.3600000000000012
82,Software - Application,ADBE,-12.65,0.51,0.53,0.44,0.29,0.75,18,14,6,4,8,-0.6699999999999999
83,Medical Devices,DXCM,-12.92,0.64,0.65,0.25,0.33,0.81,17,11,17,43,40,0.35999999999999943
84,Packaged Foods,KHC,-12.98,0.42,0.5,0.47,0.47,0.43,16,9,24,13,27,0.6099999999999994
85,Specialty Business Services,CTAS,-13.6,0.44,0.38,0.48,0.59,0.58,15,19,34,55,68,-3.629999999999999
86,Information Technology Services,CDW,-14.12,0.76,0.51,0.41,0.35,0.78,14,7,14,10,11,-0.27999999999999936
87,Beverages - Non-Alcoholic,KDP,-15.09,0.62,0.73,0.3,0.5,0.42,13,5,4,36,58,3.6000000000000014
88,Specialty Business Services,TRI,-15.36,0.55,0.74,0.1,0.22,0.76,12,20,10,71,76,-5.6
89,Trucking,ODFL,-15.88,0.56,0.41,0.29,0.24,0.55,11,4,5,3,13,3.5600000000000005
90,Real Estate Services,CSGP,-16.17,0.31,0.37,0.37,0.78,0.51,10,26,49,83,46,-9.590000000000002
91,Software - Application,PAYX,-17.27,0.26,0.51,0.17,0.41,0.56,9,10,15,34,72,-3.959999999999999
92,Specialty Business Services,CPRT,-18.03,0.39,0.52,0.18,0.36,0.56,8,8,9,5,70,-4.3100000000000005
93,Telecom Services,CMCSA,-19.73,0.29,0.31,0.13,0.3,0.55,7,6,8,11,34,-3.860000000000001
94,Software - Infrastructure,SNPS,-19.79,0.52,0.44,0.62,0.7,0.74,6,13,32,77,24,-6.899999999999999
95,Software - Application,ROP,-20.04,0.19,0.35,0.34,0.45,0.53,5,12,18,27,53,-7.029999999999999
96,Software - Application,TEAM,-22.74,0.66,0.63,0.15,0.41,0.56,4,3,2,7,41,1.2200000000000024
97,Telecom Services,CHTR,-25.24,0.24,0.16,0.64,0.11,0.7,3,2,3,1,80,-0.9899999999999984
98,Software - Application,MSTR,-26.01,0.32,0.26,0.55,0.19,0.98,2,16,67,89,98,-14.610000000000001
99,Apparel Retail,LULU,-34.54,0.51,0.55,0.64,0.21,0.66,1,1,1,1,12,-2.1099999999999994
100,Advertising Agencies,TTD,-43.77,0.39,0.45,0.71,0.73,0.63,1,1,1,60,1,-5.100000000000001
