Rank,Industry,Ticker,Relative Strength,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Diff
29,Semiconductor Equipment & Materials,AXTI,264.45,0.85,0.57,0.72,0.35,0.74,99,98,97,36,2,69.36999999999998
30,Biotechnology,PVLA,261.35,0.61,0.56,0.62,0.74,0.62,99,99,99,98,98,27.51000000000002
31,Diagnostics & Research,GRAL,261.22,0.66,0.66,0.93,0.34,0.76,99,99,98,93,97,8.500000000000028
32,Semiconductors,NVTS,255.99,0.62,0.69,0.69,0.68,0.68,99,99,97,99,6,-65.98000000000002
33,Utilities - Regulated Electric,OKLO,253.3,0.46,0.49,0.66,0.6,0.65,99,99,99,99,95,-70.59999999999997
34,Computer Hardware,QUBT,250.02,0.35,0.28,0.6,0.29,0.64,99,99,99,99,99,-63.859999999999985
35,Uranium,LEU,243.61,0.53,0.54,0.74,0.47,0.69,99,99,99,99,85,-16.189999999999998
36,Computer Hardware,SNDK,238.11,0.77,0.76,0.79,0.44,0.59,99,99,95,62,52,9.280000000000001
37,Computer Hardware,UMAC,234.35,0.56,0.34,0.74,0.32,0.64,99,98,99,99,99,45.620000000000005
38,Uranium,UUUU,234.21,0.53,0.6,0.68,0.7,0.59,99,99,99,96,23,1.3600000000000136
39,Health Information Services,CTEV,230.94,0.72,0.78,0.2,0.25,0.62,99,99,98,98,94,-29.889999999999986
40,Electronic Components,LPTH,230.61,0.52,0.5,0.66,0.32,0.84,99,99,99,92,91,-14.179999999999978
41,Other Industrial Metals & Mining,TMC,229.44,0.36,0.46,0.77,0.35,0.62,99,99,99,99,99,2.2700000000000102
42,Semiconductors,GSIT,220.31,0.65,0.62,0.73,0.37,0.73,99,98,82,78,74,52.640000000000015
43,Capital Markets,WULF,220.01,0.56,0.61,0.6,0.43,0.71,99,98,98,74,18,19.419999999999987
44,Biotechnology,MLYS,218.32,0.45,0.57,0.59,0.37,0.7,99,98,98,53,92,6.310000000000002
45,Communication Equipment,VSAT,216.79,0.72,0.62,0.39,0.64,0.68,99,99,98,94,18,-16.689999999999998
46,Other Industrial Metals & Mining,NB,215.22,0.38,0.49,0.75,0.4,0.53,99,99,99,93,78,-41.76000000000002
47,Software - Application,PRCH,207.02,0.55,0.49,0.36,0.49,0.61,98,99,99,99,99,-132.39000000000001
48,Aerospace & Defense,PL,202.16,0.36,0.39,0.95,0.5,0.62,98,99,99,97,87,-37.849999999999994
49,Information Technology Services,MFH,194.8,0.22,0.17,0.72,0.5,0.76,98,99,99,91,99,-51.04999999999998
50,Electronic Components,CLS,192.18,0.81,0.7,0.55,0.7,0.69,98,98,98,99,93,-5.289999999999992
51,Biotechnology,RAPT,189.45,0.59,0.49,0.9,0.58,0.62,98,98,98,40,1,0.28000000000000114
52,Electronic Components,OUST,187.74,0.56,0.55,0.4,0.43,0.7,98,99,97,99,31,-32.09
53,Telecom Services,SATS,182.95,0.46,0.41,0.56,0.39,0.63,98,98,98,68,70,3.3899999999999864
54,Engineering & Construction,PHOE,180.12,0.63,0.6,0.5,0.53,0.0,98,97,40,97,52,31.830000000000013
55,Electrical Equipment & Parts,EOSE,178.88,0.52,0.57,0.9,0.53,0.69,98,99,98,93,99,-47.140000000000015
56,Auto Parts,QS,174.27,0.54,0.54,0.82,0.43,0.67,98,98,98,96,12,-14.469999999999999
57,Internet Retail,JMIA,173.31,0.44,0.42,0.69,0.56,0.76,98,98,99,76,1,-15.289999999999992
58,Software - Infrastructure,XNET,169.37,0.53,0.38,0.78,0.46,0.73,98,98,99,96,99,-13.829999999999984
59,Biotechnology,STOK,168.69,0.55,0.66,0.48,0.56,0.8,98,98,97,71,16,-17.390000000000015
60,Gold,HYMC,166.32,0.53,0.54,0.58,0.38,0.53,98,97,97,85,88,30.69999999999999
61,Biotechnology,MNPR,164.88,0.48,0.35,0.9,0.43,0.73,98,99,99,99,99,-251.95
62,Software - Infrastructure,ARQQ,163.88,0.45,0.39,0.69,0.4,0.61,98,97,98,99,96,8.25
63,Consulting Services,DGNX,163.57,0.35,0.41,0.66,0.43,0.41,98,99,92,51,98,-102.84000000000003
64,Capital Markets,HUT,163.4,0.56,0.57,0.6,0.34,0.62,98,98,96,84,40,-17.349999999999994
65,Capital Markets,HOOD,160.42,0.49,0.46,0.74,0.5,0.62,98,98,99,99,98,-14.110000000000014
66,Telecom Services,SIFY,157.95,0.32,0.41,0.59,0.81,0.7,98,98,99,98,92,-31.689999999999998
67,Aerospace & Defense,RKLB,155.87,0.45,0.6,0.49,0.53,0.65,98,98,97,99,99,-22.28
68,Biotechnology,AMLX,155.83,0.48,0.62,0.7,0.37,0.8,98,98,99,98,98,-10.369999999999976
69,Semiconductors,CRDO,154.66,0.63,0.53,0.35,0.59,0.74,98,98,98,99,94,-10.920000000000016
70,Communication Equipment,ASTS,150.36,0.45,0.51,0.79,0.59,0.62,98,97,95,98,99,0.9900000000000091
71,Gold,CDE,147.89,0.43,0.48,0.77,0.32,0.31,98,98,98,91,27,-11.690000000000026
72,Gold,SSRM,147.57,0.52,0.48,0.59,0.41,0.39,98,97,98,95,96,-1.0300000000000011
73,Diagnostics & Research,GH,147.26,0.8,0.67,0.7,0.21,0.59,98,95,93,71,96,49.19
74,Biotechnology,ARWR,146.39,0.75,0.52,0.72,0.36,0.71,98,96,96,17,8,19.019999999999982
75,Auto Manufacturers,CYD,146.05,0.54,0.43,0.63,0.39,0.57,98,97,98,97,97,2.0200000000000102
76,Electrical Equipment & Parts,LTBR,144.36,0.6,0.55,0.69,0.45,0.64,98,98,99,97,98,-42.0
77,Communication Equipment,LITE,143.63,0.74,0.62,0.55,0.74,0.81,97,96,97,96,63,15.469999999999999
78,Computer Hardware,WDC,143.54,0.69,0.54,0.85,0.74,0.91,97,97,98,95,32,1.759999999999991
79,Biotechnology,GNLX,143.07,0.79,0.8,0.72,0.53,0.55,97,97,92,86,29,-1.9399999999999977
80,Biotechnology,TRML,142.92,0.74,0.68,0.62,0.68,0.66,97,97,98,81,40,11.069999999999993
81,Medical Care Facilities,NUTX,142.69,0.72,0.61,0.62,0.23,0.4,97,97,97,99,99,-5.650000000000006
82,Utilities - Renewable,FLNC,142.0,0.66,0.59,0.84,0.48,0.55,97,97,87,46,1,6.139999999999986
83,Health Information Services,OPRX,141.74,0.57,0.72,0.51,0.49,0.83,97,98,97,95,94,-31.72999999999999
84,Software - Application,DAVE,140.54,0.61,0.7,0.35,0.57,0.83,97,98,96,99,99,-37.5
85,Semiconductors,LASR,139.5,0.61,0.55,0.56,0.64,0.77,97,98,98,98,12,-26.24000000000001
86,Software - Application,EGAN,139.32,0.56,0.75,0.62,0.33,0.6,97,97,89,56,18,-11.560000000000002
87,Computer Hardware,STX,138.58,0.73,0.45,0.85,0.58,0.85,97,96,97,95,55,27.24000000000001
88,Telecom Services,LUMN,138.2,0.81,0.64,0.5,0.27,0.63,97,92,72,20,89,63.54999999999998
89,Real Estate Services,HOUS,137.76,0.55,0.58,0.77,0.58,0.74,97,98,98,72,45,-24.580000000000013
90,Telecom Services,GSAT,137.72,0.65,0.51,0.81,0.18,0.62,97,96,92,76,68,25.700000000000003
91,Coking Coal,METC,137.03,0.29,0.45,0.82,0.49,0.66,97,98,99,97,35,-44.91
92,Oil & Gas Equipment & Services,SEI,136.16,0.63,0.56,0.8,0.44,0.83,97,97,94,95,97,4.460000000000008
93,Oil & Gas Equipment & Services,GEOS,134.68,0.58,0.64,0.69,0.78,0.63,97,97,94,97,7,-16.870000000000005
94,Communication Equipment,CIEN,134.67,0.82,0.71,0.84,0.7,0.84,97,97,96,86,81,1.1699999999999875
95,Biotechnology,TNGX,134.0,0.58,0.49,0.64,0.57,0.57,97,96,97,99,1,14.060000000000002
96,Aerospace & Defense,KTOS,133.95,0.42,0.41,0.89,0.6,0.7,97,97,98,98,95,-14.79000000000002
97,Oil & Gas Equipment & Services,FTK,133.21,0.65,0.47,0.92,0.21,0.69,97,96,93,97,93,19.000000000000014
98,Communication Equipment,COMM,132.9,0.8,0.6,0.43,0.5,0.73,97,98,97,97,98,-39.879999999999995
99,Software - Infrastructure,AEVA,130.03,0.5,0.51,0.45,0.27,0.53,97,97,96,99,99,-19.97999999999999
100,Semiconductors,MU,129.62,0.78,0.64,0.75,0.28,0.72,97,96,93,70,20,5.390000000000001
101,Luxury Goods,REAL,129.58,0.78,0.68,0.7,0.5,0.74,97,97,96,61,92,-6.329999999999984
102,Biotechnology,INSM,129.04,0.79,0.52,0.53,0.72,0.61,97,94,94,93,91,36.989999999999995
103,Specialty Industrial Machinery,SYM,126.63,0.64,0.46,0.63,0.56,0.68,97,95,95,98,15,23.17
104,Oil & Gas Refining & Marketing,DK,126.33,0.76,0.67,0.68,0.15,0.66,97,96,93,87,10,14.310000000000002
105,Biotechnology,GLUE,125.83,0.73,0.73,0.72,0.42,0.68,97,96,86,13,18,11.61
106,Biotechnology,XERS,125.76,0.81,0.71,0.56,0.47,0.68,97,96,95,94,98,-2.0
107,Other Precious Metals & Mining,HL,125.61,0.52,0.53,0.65,0.35,0.24,96,96,96,58,19,10.310000000000002
108,Engineering & Construction,TPC,124.78,0.71,0.65,0.54,0.34,0.62,96,97,96,97,63,-3.9199999999999875
109,Biotechnology,ZBIO,124.77,0.57,0.52,0.57,0.69,0.9,96,95,96,83,80,26.64
110,Biotechnology,TRVI,120.85,0.69,0.58,0.46,0.57,0.8,96,95,95,96,99,14.83999999999999
111,Other Industrial Metals & Mining,MP,119.11,0.4,0.47,0.57,0.74,0.56,96,97,99,99,94,-29.940000000000012
112,Medical Care Facilities,AIRS,118.83,0.62,0.71,0.79,0.58,0.83,96,98,95,92,3,-53.39
113,Engineering & Construction,AMRC,118.57,0.52,0.61,0.82,0.3,0.64,96,97,96,17,1,-21.879999999999995
114,Electronic Components,TTMI,118.13,0.72,0.47,0.74,0.48,0.87,96,96,97,98,88,-0.8000000000000114
115,Solar,NXT,118.03,0.69,0.75,0.69,0.41,0.61,96,96,90,88,48,-0.20000000000000284
116,Biotechnology,PHAT,117.92,0.66,0.67,0.52,0.42,0.18,96,94,86,96,1,32.11
117,Communication Equipment,GILT,117.08,0.57,0.56,0.81,0.49,0.75,96,97,97,84,82,-13.269999999999996
118,Entertainment,WBD,116.88,0.91,0.65,0.69,0.64,0.63,96,96,94,93,47,5.75
119,Gold,IDR,116.79,0.39,0.43,0.68,0.46,0.38,96,96,98,82,89,-0.269999999999996
120,Pollution & Treatment Controls,ADUR,116.58,0.4,0.44,0.5,0.36,0.76,96,97,96,96,56,-14.760000000000005
121,Drug Manufacturers - Specialty & Generic,INDV,116.1,0.81,0.71,0.46,0.87,0.81,96,95,95,97,46,13.959999999999994
122,Medical Care Facilities,AVAH,115.13,0.58,0.61,0.63,0.3,0.6,96,96,94,9,89,3.8699999999999903
123,Biotechnology,FDMT,114.66,0.66,0.69,0.73,0.78,0.78,96,97,94,71,1,-31.97999999999999
124,Software - Infrastructure,PLTR,113.52,0.72,0.56,0.74,0.59,0.81,96,96,97,99,99,-1.6000000000000085
125,Communication Equipment,UI,113.35,0.73,0.62,0.71,0.55,0.69,96,95,96,93,97,5.36999999999999
126,Auto Parts,MPAA,113.31,0.69,0.64,0.56,0.32,0.66,96,95,93,92,97,7.439999999999998
127,Information Technology Services,INOD,113.08,0.41,0.39,0.84,0.41,0.57,96,97,98,94,99,-18.92
128,Specialty Industrial Machinery,PSIX,112.55,0.47,0.49,0.47,0.62,0.64,96,97,98,99,99,-28.92
129,Biotechnology,ADPT,111.81,0.62,0.66,0.57,0.28,0.68,96,97,95,95,99,-16.5
130,Electronic Components,ALNT,111.21,0.68,0.7,0.46,0.44,0.66,96,96,93,96,38,-3.160000000000011
131,Software - Infrastructure,BKKT,111.15,0.36,0.35,0.9,0.34,0.62,96,97,97,6,26,-41.0
132,Footwear & Accessories,FORD,110.85,0.31,0.28,0.37,0.78,0.84,96,98,99,99,96,-53.0
133,Biotechnology,MAZE,110.02,0.75,0.65,0.56,0.45,0.69,96,94,93,70,29,20.25999999999999
134,Solar,SHLS,109.33,0.62,0.67,0.67,0.36,0.65,96,96,90,66,9,-16.489999999999995
135,Uranium,UEC,109.14,0.55,0.53,0.58,0.83,0.67,96,94,96,91,17,22.489999999999995
136,Advertising Agencies,APP,108.85,0.62,0.56,0.84,0.61,0.66,96,96,98,98,99,-17.180000000000007
137,Oil & Gas Refining & Marketing,PARR,108.66,0.71,0.63,0.56,0.27,0.58,95,95,93,97,11,11.829999999999998
138,Other Precious Metals & Mining,MUX,107.31,0.5,0.55,0.76,0.35,0.36,95,95,94,77,16,-1.1400000000000006
139,Internet Retail,W,106.6,0.83,0.48,0.42,0.73,0.73,95,92,93,95,10,33.44
140,Solar,RUN,105.84,0.54,0.57,0.66,0.45,0.63,95,95,94,47,6,1.6300000000000097
141,Aerospace & Defense,ATRO,104.67,0.61,0.57,0.74,0.41,0.59,95,96,95,95,89,-12.319999999999993
142,Gold,NGD,104.42,0.57,0.37,0.72,0.37,0.59,95,94,96,90,96,15.030000000000001
143,Insurance - Property & Casualty,LMND,103.95,0.7,0.42,0.54,0.38,0.73,95,93,92,93,93,22.58
144,Gold,CMCL,103.36,0.34,0.35,0.7,0.45,0.46,95,96,98,96,81,-14.329999999999998
145,Engineering & Construction,STRL,103.34,0.61,0.57,0.6,0.66,0.75,95,95,95,97,91,-6.039999999999992
146,Conglomerates,TTI,102.56,0.64,0.73,0.82,0.63,0.69,95,97,93,80,10,-26.5
147,Computer Hardware,IONQ,101.66,0.41,0.34,0.69,0.38,0.67,95,96,98,98,99,-12.980000000000004
148,Auto Parts,HSAI,101.16,0.57,0.3,0.47,0.29,0.73,95,95,97,98,99,-5.609999999999999
149,Solar,SEDG,99.4,0.48,0.55,0.72,0.47,0.52,95,97,95,95,8,-36.139999999999986
150,Industrial Distribution,REZI,98.75,0.67,0.56,0.79,0.58,0.76,95,95,95,85,22,-11.060000000000002
151,Electronic Components,VICR,98.48,0.89,0.82,0.44,0.45,0.38,95,94,50,41,49,9.13000000000001
152,Capital Markets,RIOT,98.45,0.5,0.49,0.69,0.39,0.66,95,95,95,69,16,-1.9599999999999937
153,Communication Equipment,FEIM,98.37,0.54,0.49,0.5,0.75,0.65,95,95,95,96,94,-3.7099999999999937
154,Gold,NG,98.04,0.35,0.4,0.9,0.57,0.71,95,95,98,88,83,-7.97999999999999
155,Semiconductors,INTC,97.74,0.65,0.58,0.77,0.15,0.56,95,94,91,16,29,12.829999999999998
156,Biotechnology,IONS,97.39,0.66,0.62,0.58,0.53,0.94,95,94,93,76,24,2.9000000000000057
157,Biotechnology,ARQT,97.22,0.73,0.53,0.67,0.26,0.83,95,89,88,79,95,39.48
158,Gold,DRD,97.07,0.4,0.37,0.75,0.52,0.29,95,95,97,76,94,-2.3300000000000125
159,Other Precious Metals & Mining,SBSW,95.34,0.5,0.49,0.88,0.48,0.57,95,96,97,97,69,-15.450000000000003
160,Specialty Chemicals,PRM,94.18,0.7,0.45,0.47,0.36,0.67,95,91,91,90,55,28.80000000000001
161,Biotechnology,UPB,94.03,0.72,0.64,0.54,0.77,0.6,95,92,91,88,20,20.08
162,Software - Application,IDCC,93.69,0.77,0.76,0.66,0.72,0.59,95,95,93,93,95,-7.799999999999997
163,Engineering & Construction,FIX,92.87,0.69,0.71,0.66,0.83,0.79,95,95,95,96,82,-10.670000000000002
164,Oil & Gas Equipment & Services,FET,92.6,0.86,0.75,0.44,0.37,0.57,95,93,88,72,30,14.569999999999993
165,Specialty Industrial Machinery,AMSC,92.09,0.53,0.48,0.58,0.79,0.75,95,96,97,98,58,-21.450000000000003
166,Biotechnology,MTSR,91.81,0.89,0.5,0.73,0.29,0.73,95,87,89,79,44,42.29
167,Biotechnology,ORKA,91.68,0.71,0.76,0.6,0.39,0.82,94,95,81,29,3,-6.539999999999992
168,Biotechnology,RNA,91.54,0.8,0.58,0.54,0.58,0.83,94,83,82,39,39,51.410000000000004
169,Credit Services,SOFI,91.21,0.6,0.6,0.49,0.49,0.71,94,94,95,97,89,3.6899999999999977
170,Auto Parts,CPS,90.66,0.64,0.58,0.36,0.62,0.88,94,96,96,94,96,-27.810000000000002
171,Semiconductor Equipment & Materials,LRCX,90.57,0.82,0.52,0.89,0.41,0.67,94,94,92,80,35,4.059999999999988
172,Gold,ARMN,88.02,0.5,0.45,0.57,0.47,0.5,94,94,96,94,91,-1.9500000000000028
173,Airports & Air Services,JOBY,87.94,0.51,0.36,0.7,0.73,0.69,94,93,96,99,74,8.829999999999998
174,Software - Infrastructure,BLZE,87.91,0.64,0.6,0.45,0.39,0.49,94,94,90,17,7,-2.8500000000000085
175,Biotechnology,RCUS,87.68,0.75,0.64,0.85,0.43,0.64,94,90,81,7,4,27.99000000000001
176,Biotechnology,RZLT,87.66,0.67,0.54,0.7,0.62,0.85,94,93,96,85,35,4.420000000000002
177,Diagnostics & Research,PSNL,87.53,0.61,0.65,0.7,0.29,0.81,94,94,74,83,89,-8.090000000000003
178,Oil & Gas Equipment & Services,NESR,87.05,0.82,0.82,0.52,0.55,0.67,94,90,83,10,12,24.75
179,Drug Manufacturers - Specialty & Generic,AVDL,87.0,0.96,0.87,0.35,0.67,0.72,94,94,90,64,14,-2.9000000000000057
180,Drug Manufacturers - Specialty & Generic,EBS,86.63,0.79,0.56,0.72,0.28,0.68,94,80,78,6,36,51.279999999999994
181,Silver,AG,86.35,0.48,0.5,0.68,0.24,0.39,94,94,93,84,43,2.059999999999988
182,Medical Devices,CLPT,86.27,0.41,0.44,0.87,0.25,0.76,94,95,92,11,96,-10.530000000000001
183,Other Precious Metals & Mining,PPTA,86.22,0.48,0.49,0.73,0.54,0.73,94,93,94,91,98,7.060000000000002
184,Semiconductor Equipment & Materials,AEHR,86.17,0.53,0.39,0.7,0.6,0.53,94,94,98,92,8,0.8799999999999955
185,Engineering & Construction,PRIM,85.85,0.61,0.53,0.77,0.61,0.73,94,95,95,90,73,-10.180000000000007
186,Biotechnology,NAMS,85.73,0.55,0.59,0.62,0.44,0.92,94,92,87,63,56,14.329999999999998
187,Utilities - Renewable,ENLT,85.37,0.57,0.62,0.63,0.48,0.75,94,93,91,94,65,3.480000000000004
188,Biotechnology,SION,84.79,0.68,0.73,0.69,0.36,0.86,94,94,85,65,52,-5.909999999999997
189,Silver,EXK,84.72,0.56,0.52,0.7,0.27,0.32,94,93,94,81,34,5.109999999999999
190,Gold,AU,84.39,0.46,0.41,0.67,0.53,0.43,94,94,97,94,95,-3.3400000000000034
191,Gold,GFI,84.14,0.46,0.46,0.64,0.61,0.29,94,95,97,90,89,-11.849999999999994
192,Drug Manufacturers - Specialty & Generic,ELAN,84.07,0.92,0.71,0.74,0.34,0.7,94,93,90,81,16,4.61999999999999
193,Semiconductors,AMD,83.86,0.71,0.7,0.71,0.74,0.6,94,94,75,91,13,-2.700000000000003
194,Software - Application,BTDR,83.66,0.61,0.55,0.68,0.4,0.73,94,95,88,65,81,-22.060000000000002
195,Biotechnology,RLAY,83.33,0.61,0.65,0.77,0.42,0.76,94,91,85,6,3,14.599999999999994
196,Copper,HBM,83.11,0.45,0.51,0.69,0.25,0.7,94,93,92,67,30,3.9200000000000017
197,Biotechnology,MRUS,82.89,0.62,0.62,0.86,0.8,0.59,93,93,95,91,45,0.1599999999999966
198,Semiconductors,TSEM,82.34,0.81,0.55,0.77,0.5,0.68,93,92,92,61,30,10.100000000000009
199,Biotechnology,ASMB,81.6,0.65,0.68,0.59,0.46,0.9,93,94,92,82,48,-12.940000000000012
200,Uranium,CCJ,80.89,0.69,0.56,0.56,0.43,0.78,93,88,88,93,54,27.439999999999998
201,Oil & Gas Equipment & Services,PUMP,80.82,0.91,0.64,0.65,0.29,0.59,93,21,4,4,5,87.05
202,Drug Manufacturers - Specialty & Generic,PAHC,80.41,0.74,0.7,0.48,0.1,0.66,93,93,92,86,47,-1.240000000000009
203,Biotechnology,DYN,80.32,0.87,0.8,0.43,0.61,0.96,93,83,34,1,2,39.89999999999999
204,Specialty Retail,EYE,80.3,0.55,0.3,0.82,0.37,0.71,93,93,96,98,70,0.060000000000002274
205,Communication Equipment,AAOI,79.99,0.66,0.5,0.56,0.15,0.73,93,92,79,92,70,3.819999999999993
206,Security & Protection Services,EVLV,79.98,0.39,0.64,0.42,0.77,0.75,93,91,92,97,90,11.939999999999998
207,Software - Application,SOUN,79.34,0.48,0.49,0.61,0.39,0.63,93,95,93,87,94,-22.61999999999999
208,Engineering & Construction,AGX,79.21,0.64,0.59,0.81,0.53,0.64,93,93,94,97,97,-2.990000000000009
209,Gold,EQX,79.01,0.44,0.49,0.49,0.4,0.36,93,93,94,47,67,0.8000000000000114
210,Semiconductors,SKYT,78.97,0.43,0.47,0.97,0.38,0.64,93,94,95,52,20,-5.890000000000001
211,Engineering & Construction,WLDN,78.38,0.53,0.65,0.34,0.76,0.59,93,95,95,98,78,-23.590000000000003
212,Software - Application,LIF,78.06,0.36,0.26,0.69,0.72,0.87,93,93,97,96,69,-3.75
213,Biotechnology,RAPP,77.98,0.51,0.42,0.7,0.47,0.69,93,92,96,23,7,7.430000000000007
214,Copper,IE,77.94,0.5,0.66,0.82,0.46,0.63,93,94,89,86,18,-7.230000000000004
215,Gold,CNL,77.56,0.35,0.37,0.66,0.32,0.4,93,93,97,98,99,-6.700000000000003
216,Biotechnology,SEPN,76.95,0.4,0.55,0.89,0.52,0.82,93,93,92,67,6,0.23000000000000398
217,Gold,KGC,76.86,0.48,0.44,0.67,0.57,0.45,93,93,96,91,96,-6.049999999999997
218,Biotechnology,MNMD,76.83,0.64,0.51,0.75,0.51,0.8,93,91,95,75,32,8.030000000000001
219,Gold,IAG,76.82,0.41,0.37,0.79,0.45,0.41,93,93,96,78,92,-6.010000000000005
220,Biotechnology,FULC,76.55,0.47,0.47,0.87,0.33,0.96,93,95,96,90,85,-25.409999999999997
221,Oil & Gas Refining & Marketing,CVI,76.5,0.61,0.61,0.75,0.21,0.73,93,91,89,80,41,7.569999999999993
222,Semiconductor Equipment & Materials,ACMR,76.41,0.62,0.5,0.9,0.53,0.53,93,94,95,93,55,-8.570000000000007
223,Oil & Gas Equipment & Services,NPKI,76.19,0.9,0.8,0.76,0.55,0.87,93,92,89,75,71,0.37000000000000455
224,Semiconductors,RMBS,76.16,0.65,0.55,0.66,0.67,0.62,93,94,94,89,44,-9.170000000000002
225,Semiconductors,ALAB,75.97,0.28,0.24,0.27,0.78,0.72,93,94,98,98,60,-18.03
226,Semiconductor Equipment & Materials,FORM,75.87,0.84,0.52,0.76,0.25,0.69,93,71,45,6,10,53.27
227,Semiconductor Equipment & Materials,TER,75.78,0.81,0.47,0.83,0.64,0.56,92,86,83,61,7,26.950000000000003
228,Software - Infrastructure,PGY,75.57,0.46,0.48,0.3,0.66,0.7,92,95,97,99,73,-32.52000000000001
229,Beverages - Non-Alcoholic,CELH,75.03,0.48,0.62,0.49,0.46,0.31,92,93,90,89,66,-5.159999999999997
230,Conglomerates,FBYD,75.02,0.4,0.37,0.61,0.66,0.35,92,91,91,69,74,10.280000000000001
231,Biotechnology,BBIO,74.72,0.67,0.48,0.53,0.47,0.78,92,87,90,94,93,23.65
232,Aerospace & Defense,AVAV,74.43,0.42,0.46,0.95,0.46,0.64,92,94,94,92,30,-10.699999999999989
233,Gold,CGAU,74.43,0.54,0.46,0.9,0.43,0.43,92,91,92,61,50,9.400000000000006
234,Industrial Distribution,XMTR,74.25,0.51,0.4,0.57,0.41,0.87,92,93,94,89,91,-5.189999999999998
235,Specialty Business Services,RHLD,73.86,0.55,0.5,0.58,0.61,0.54,92,93,93,76,52,-3.989999999999995
236,Internet Content & Information,WBTN,73.49,0.59,0.48,0.67,0.48,0.86,92,92,93,8,14,-0.5100000000000051
237,Computer Hardware,PSTG,73.39,0.73,0.57,0.59,0.5,0.77,92,91,90,41,21,4.320000000000007
238,Biotechnology,LXEO,73.37,0.63,0.75,0.76,0.53,0.86,92,94,84,5,3,-18.97999999999999
239,Gambling,SBET,73.22,0.31,0.2,0.56,0.41,0.65,92,96,97,99,2,-38.83
240,Entertainment,SPHR,72.35,0.72,0.59,0.67,0.38,0.54,92,91,89,68,6,4.009999999999991
241,Information Technology Services,VNET,72.35,0.66,0.42,0.66,0.46,0.71,92,90,93,97,99,8.939999999999998
242,Biotechnology,ATXS,72.01,0.94,0.92,0.44,0.49,0.79,92,93,56,18,3,-8.049999999999997
