Rank,Industry,Ticker,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago
24,Packaged Foods,2805.T,26.15,5.419999999999998,0.78,0.65,0.41,0.74,0.43,83,76,82,85,87
25,Building Materials,3157.T,25.2,13.29,0.83,0.63,0.68,0.57,0.71,82,66,69,31,54
26,Pharmaceutical Retailers,3088.T,24.97,0.5499999999999972,0.32,0.43,0.54,0.55,0.66,82,82,93,93,72
27,Semiconductor Equipment & Materials,3089.T,23.77,-10.470000000000002,0.63,0.93,0.58,0.51,0.57,81,92,35,20,16
28,Medical Instruments & Supplies,3046.T,22.35,3.2200000000000024,0.43,0.56,0.34,0.35,0.23,80,75,85,99,97
29,Packaged Foods,2892.T,19.82,-4.809999999999999,0.33,0.57,0.7,0.69,0.69,80,83,90,88,17
30,Textile Manufacturing,3201.T,18.07,2.8000000000000007,0.83,0.9,0.39,0.44,0.54,79,72,64,77,73
31,Medical Care Facilities,2901.T,17.78,-7.699999999999999,0.34,0.45,0.54,0.46,0.27,78,85,96,99,99
32,Packaged Foods,2804.T,16.98,-4.43,0.44,0.68,0.83,0.57,0.51,77,77,79,24,26
33,Gambling,2767.T,16.32,-7.489999999999998,0.31,0.33,0.91,0.5,0.31,77,81,93,82,15
34,Apparel Manufacturing,2776.T,16.27,-9.07,0.62,0.72,0.39,0.65,0.6,76,84,66,13,88
35,Specialty Industrial Machinery,2961.T,15.97,2.370000000000001,0.57,0.73,0.61,0.42,0.75,75,69,63,78,96
36,Restaurants,3197.T,15.93,-1.870000000000001,0.51,0.65,0.47,0.57,0.68,74,74,80,95,93
37,Software-Infrastructure,3040.T,15.93,-5.530000000000001,0.62,0.57,0.63,0.74,0.61,74,78,72,81,64
38,Conglomerates,2768.T,15.84,-1.1499999999999986,0.58,0.79,0.48,0.33,0.51,73,73,62,55,37
39,Packaged Foods,2820.T,15.2,-7.810000000000002,0.45,0.67,0.48,0.41,0.46,72,80,83,98,9
40,Textile Manufacturing,3202.T,13.82,-0.9000000000000004,0.77,0.77,0.45,0.42,0.75,72,71,58,44,77
41,Other Industrial Metals & Mining,3023.T,12.99,-2.5700000000000003,0.7,0.93,0.72,0.64,0.64,71,72,59,22,53
42,Department Stores,3222.T,12.83,-4.549999999999999,0.17,0.59,0.67,0.53,0.57,70,74,74,72,20
43,Restaurants,3223.T,12.57,2.33,0.59,0.39,0.64,0.69,0.2,69,64,67,50,51
44,Industrial Distribution,3176.T,12.49,4.41,0.86,0.68,0.63,0.53,0.36,69,58,58,30,55
45,Tobacco,2914.T,12.37,-1.9400000000000013,0.38,0.62,0.79,0.56,0.42,68,70,64,72,25
46,Department Stores,3099.T,12.32,-0.7099999999999991,0.61,0.77,0.6,0.64,0.34,67,67,23,19,53
47,Textile Manufacturing,3110.T,11.21,-1.9399999999999995,0.53,0.52,0.49,0.73,0.15,66,68,92,29,1
48,Specialty Retail,3093.T,10.63,0.9100000000000001,0.54,0.65,0.36,0.24,0.75,66,63,21,80,94
49,Internet Retail,3071.T,10.57,2.33,0.73,0.86,0.5,0.39,0.43,65,60,60,73,39
50,Auto & Truck Dealerships,3011.T,10.07,-0.75,0.63,0.65,0.57,0.43,0.62,64,65,61,66,72
51,Discount Stores,2782.T,9.28,-0.030000000000001137,0.47,0.6,0.4,0.41,0.6,64,62,23,28,13
52,Conglomerates,3167.T,9.01,-4.18,0.06,0.5,0.82,0.51,0.59,63,69,73,60,46
53,Residential Construction,2999.T,8.88,-28.18,0.17,0.72,0.63,0.6,0.47,62,94,94,79,19
54,Medical Distribution,2784.T,8.46,0.5900000000000007,0.42,0.54,0.89,0.2,0.46,61,57,43,10,27
55,Specialty Retail,3028.T,8.24,-1.709999999999999,0.64,0.42,0.64,0.68,0.7,61,64,72,77,91
56,Conglomerates,3204.T,7.87,-0.34000000000000075,0.77,0.88,0.52,0.34,0.33,60,59,46,31,31
57,Packaged Foods,2907.T,7.63,1.92,0.74,0.76,0.38,0.54,0.36,59,52,55,62,80
58,Specialty Retail,3177.T,7.56,2.1599999999999993,0.62,0.69,0.3,0.66,0.15,58,51,38,70,36
59,Business Equipment & Supplies,3035.T,7.33,0.17999999999999972,0.24,0.38,0.42,0.77,0.38,58,55,76,76,36
60,Packaged Foods,2933.T,6.88,1.8899999999999997,0.64,0.65,0.78,0.47,0.36,57,50,45,26,24
61,Apparel Manufacturing,3205.T,6.58,0.7999999999999998,0.71,0.53,0.52,0.62,0.82,56,53,75,69,98
62,Metal Fabrication,3024.T,6.17,-2.0,0.58,0.77,0.49,0.68,0.54,55,58,48,33,81
63,Utilities-Regulated Electric,3150.T,5.72,-3.3999999999999995,0.66,0.56,0.55,0.53,0.62,55,61,57,56,39
64,Restaurants,3091.T,5.53,-2.7399999999999993,0.44,0.37,0.83,0.62,0.53,54,61,74,43,49
65,Packaged Foods,2815.T,5.24,-2.59,0.43,0.29,0.66,0.78,0.35,53,56,88,89,85
66,Apparel Manufacturing,3045.T,5.22,-7.55,0.29,0.7,0.66,0.48,0.33,53,66,61,61,63
67,Packaged Foods,2831.T,4.88,0.9699999999999998,0.62,0.64,0.56,0.45,0.36,52,43,47,48,69
68,Personal Services,3041.T,4.48,-0.7899999999999991,0.47,0.47,0.49,0.81,0.3,51,50,54,93,3
69,Grocery Stores,3038.T,4.19,-3.3199999999999994,0.45,0.62,0.28,0.63,0.5,50,55,51,91,28
70,Restaurants,2789.T,4.16,2.9400000000000004,0.69,0.68,0.48,0.58,0.17,50,33,42,55,38
71,Computer Hardware,3021.T,3.94,0.2599999999999998,0.6,0.74,0.41,0.32,0.37,49,41,28,42,14
72,Specialty Industrial Machinery,2883.T,3.76,-0.07000000000000028,0.64,0.51,0.63,0.69,0.72,48,42,53,52,59
73,Home Improvement Retail,3166.T,3.73,-0.27,0.67,0.58,0.47,0.75,0.49,47,44,50,45,50
74,Packaged Foods,2876.T,3.69,2.45,0.38,0.58,0.64,0.32,0.46,47,34,15,7,29
75,Household & Personal Products,2931.T,3.41,-1.4699999999999998,0.41,0.47,0.71,0.41,0.61,46,48,66,9,55
76,Restaurants,3082.T,3.39,-0.2799999999999998,0.53,0.57,0.56,0.69,0.65,45,40,53,64,30
77,Apparel Retail,2778.T,3.19,-1.1199999999999997,0.46,0.45,0.48,0.55,0.29,45,46,55,71,28
78,Semiconductors,3156.T,3.07,-3.35,0.5,0.42,0.8,0.66,0.44,44,54,70,23,22
79,Specialty Industrial Machinery,2795.T,2.85,1.4600000000000002,0.57,0.42,0.5,0.58,0.44,43,35,50,50,67
80,Packaged Foods,2910.T,2.84,-2.1400000000000006,0.44,0.69,0.68,0.57,0.59,42,49,52,42,74
81,Specialty Retail,3159.T,2.73,-1.3000000000000003,0.7,0.77,0.35,0.67,0.55,42,45,33,58,58
82,Food Distribution,3160.T,2.52,4.35,0.68,0.54,0.73,0.2,0.48,41,20,20,15,31
83,Packaged Foods,2894.T,2.35,-0.06999999999999984,0.33,0.46,0.65,0.47,0.64,40,36,56,53,69
84,Lodging,3010.T,1.79,-3.96,0.14,0.35,0.71,0.67,0.4,39,53,81,85,82
85,Packaged Foods,2810.T,1.73,-1.4900000000000002,0.57,0.62,0.48,0.57,0.64,39,39,29,37,42
86,Home Improvement Retail,3199.T,1.5,-2.99,0.44,0.83,0.49,0.39,0.61,38,47,24,17,82
87,Packaged Foods,2923.T,1.44,1.16,0.74,0.67,0.46,0.7,0.41,37,30,19,74,34
88,Department Stores,3169.T,0.73,-0.52,0.53,0.54,0.71,0.56,0.28,36,34,26,57,41
89,Restaurants,3075.T,0.72,-3.0,0.36,0.92,0.86,0.42,0.32,36,42,47,21,21
90,Restaurants,2882.T,0.62,-2.4699999999999998,0.3,0.57,0.73,0.3,0.31,35,39,39,39,45
91,Packaged Foods,2927.T,0.6,-3.85,0.21,0.67,0.49,0.83,0.28,34,47,49,54,43
92,Packaged Foods,2818.T,0.57,1.0699999999999998,0.63,0.56,0.4,0.35,0.59,34,23,30,35,58
93,Food Distribution,2816.T,0.3,0.4,0.74,0.64,0.72,0.41,0.67,33,26,38,39,64
94,Advertising Agencies,300A.T,0.0,0.0,0.63,0.73,0.41,0.84,0.82,31,28,41,46,61
95,Conglomerates,297A.T,0.0,0.0,0.68,0.74,0.69,0.15,0.25,31,28,41,46,61
96,Semiconductors,285A.T,0.0,0.0,0.54,0.51,0.45,0.24,0.66,31,28,41,46,61
97,Conglomerates,287A.T,0.0,0.0,0.68,0.69,0.43,0.49,0.63,31,28,41,46,61
98,Restaurants,3069.T,-0.06,0.11000000000000001,0.4,0.27,0.69,0.55,0.32,29,26,69,51,42
99,Packaged Foods,2908.T,-0.3,1.1199999999999999,0.49,0.61,0.83,0.51,0.3,28,22,20,27,23
100,Computer Hardware,3054.T,-0.64,-3.35,0.21,0.47,0.71,0.43,0.3,28,38,31,58,33
101,Asset Management,3113.T,-0.69,-3.21,0.55,0.7,0.24,0.29,0.6,27,37,28,12,57
102,Restaurants,3053.T,-1.06,-1.7400000000000002,0.25,0.29,0.49,0.47,0.53,26,31,77,97,83
103,Packaged Foods,2904.T,-1.2,-0.84,0.61,0.56,0.39,0.9,0.46,26,24,32,64,48
104,Restaurants,3065.T,-1.43,-2.4,0.36,0.71,0.47,0.54,0.24,24,32,34,49,40
105,Specialty Retail,3048.T,-1.43,-5.6,0.33,0.55,0.41,0.45,0.46,24,45,34,28,74
106,Household & Personal Products,2930.T,-1.54,0.73,0.53,0.6,0.42,0.36,0.22,23,18,15,7,23
107,Packaged Foods,2911.T,-1.77,0.010000000000000009,0.55,0.6,0.66,0.46,0.52,23,20,26,40,66
108,Restaurants,2798.T,-1.99,-2.82,0.37,0.72,0.53,0.78,0.13,22,31,45,59,47
109,Packaged Foods,2811.T,-2.45,-0.9700000000000002,0.4,0.59,0.5,0.44,0.61,21,21,11,23,20
110,Specialty Retail,2769.T,-2.81,-0.4500000000000002,0.47,0.41,0.42,0.6,0.65,20,18,31,36,46
111,Packaged Foods,2877.T,-2.92,-0.33000000000000007,0.44,0.47,0.59,0.42,0.43,20,16,24,14,34
112,Apparel Retail,2792.T,-3.01,-0.7599999999999998,0.43,0.71,0.56,0.17,0.43,19,19,9,18,66
113,Real Estate-Development,2984.T,-3.14,-0.27,0.61,0.59,0.7,0.17,0.13,18,15,9,4,26
114,Packaged Foods,2922.T,-3.32,0.10000000000000009,0.38,0.46,0.61,0.45,0.51,18,13,16,20,68
115,Packaged Foods,2806.T,-3.43,-2.0200000000000005,0.54,0.6,0.29,0.51,0.52,17,23,14,34,90
116,Specialty Retail,3174.T,-3.45,0.7199999999999998,0.48,0.59,0.35,0.4,0.25,16,10,13,12,9
117,Other Industrial Metals & Mining,3168.T,-3.47,-5.73,0.21,0.61,0.51,0.65,0.37,15,36,44,16,11
118,Restaurants,3068.T,-3.68,-0.5500000000000003,0.47,0.41,0.59,0.36,0.57,15,14,17,18,78
119,Medical Instruments & Supplies,3154.T,-4.23,-1.6100000000000003,0.32,0.38,0.5,0.58,0.86,14,15,27,80,93
120,Restaurants,3221.T,-4.68,-0.7899999999999996,0.39,0.68,0.86,0.3,0.54,13,12,6,4,45
121,Asset Management,3121.T,-4.7,-4.41,0.34,0.51,0.22,0.71,0.44,12,25,18,68,86
122,Internet Retail,3064.T,-4.96,-2.4699999999999998,0.28,0.52,0.33,0.36,0.35,12,17,68,92,96
123,Internet Retail,3172.T,-5.17,-1.1500000000000004,0.21,0.21,0.17,0.71,0.51,11,12,13,38,10
124,Restaurants,3196.T,-5.53,-0.4800000000000004,0.49,0.65,0.45,0.39,0.73,10,8,7,32,65
125,Real Estate Services,2780.T,-6.06,-1.2799999999999994,0.46,0.52,0.59,0.38,0.11,9,9,4,1,4
126,Packaged Foods,2819.T,-6.08,-1.1399999999999997,0.48,0.59,0.6,0.43,0.45,9,9,8,11,50
127,Packaged Foods,2915.T,-6.62,-2.5200000000000005,0.29,0.48,0.72,0.57,0.61,8,11,22,9,18
128,Grocery Stores,2791.T,-8.17,1.3100000000000005,0.12,0.65,0.52,0.29,0.33,7,4,7,8,1
129,Packaged Foods,2932.T,-8.66,-0.9400000000000004,0.19,0.42,0.68,0.68,0.15,7,5,10,15,6
130,Real Estate Services,2980.T,-10.89,-5.19,0.62,0.55,0.56,0.73,0.24,6,7,5,61,7
131,Packaged Foods,2871.T,-11.02,-3.3599999999999994,0.46,0.35,0.65,0.67,0.49,5,6,12,53,12
132,Internet Retail,3092.T,-11.91,-4.86,0.23,0.4,0.39,0.43,0.38,4,7,18,65,91
133,Packaged Foods,2801.T,-12.56,-0.5999999999999996,0.29,0.45,0.67,0.14,0.45,4,4,4,2,8
134,Packaged Foods,2897.T,-13.72,1.9799999999999986,0.49,0.66,0.37,0.26,0.48,3,2,2,5,2
135,Restaurants,2764.T,-16.58,1.7800000000000011,0.47,0.5,0.35,0.41,0.41,2,1,1,1,7
136,Metal Fabrication,2962.T,-19.0,-6.07,0.32,0.37,0.27,0.5,0.07,1,3,1,1,4
137,Packaged Foods,2884.T,-21.96,-3.580000000000002,0.42,0.57,0.24,0.67,0.3,1,1,3,3,1
138,Grocery Stores,3094.T,-25.01,-0.370000000000001,0.57,0.58,0.31,0.49,0.17,1,1,1,6,12
